#r,   l, node, open or close = 00open    00close    01close    10open    10close    11close    20open    20close    21close    30open    30close    31close    
   0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00015135   0.00014154   0.00024767  -0.00048039   0.00000063   0.00000142  -0.00000398   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00030732   0.00028739   0.00050289  -0.00097540   0.00000128   0.00000289  -0.00000808   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000
   0.00046803   0.00043769   0.00076588  -0.00148550   0.00000195   0.00000442  -0.00001234   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000
   0.00063364   0.00059256   0.00103687  -0.00201112   0.00000266   0.00000600  -0.00001676   0.00000000   0.00000001  -0.00000002   0.00000000   0.00000000  -0.00000000
   0.00080429   0.00075214   0.00131613  -0.00255276   0.00000339   0.00000765  -0.00002138   0.00000000   0.00000001  -0.00000004   0.00000000   0.00000000  -0.00000000
   0.00098014   0.00091659   0.00160388  -0.00311089   0.00000415   0.00000937  -0.00002620   0.00000001   0.00000002  -0.00000006   0.00000000   0.00000000  -0.00000000
   0.00116134   0.00108604   0.00190040  -0.00368601   0.00000495   0.00001119  -0.00003126   0.00000001   0.00000002  -0.00000008   0.00000000   0.00000000  -0.00000000
   0.00134806   0.00126066   0.00220595  -0.00427865   0.00000580   0.00001309  -0.00003659   0.00000001   0.00000003  -0.00000011   0.00000000   0.00000000  -0.00000000
   0.00154047   0.00144059   0.00252080  -0.00488934   0.00000669   0.00001511  -0.00004222   0.00000001   0.00000004  -0.00000014   0.00000000   0.00000000  -0.00000000
   0.00173874   0.00162601   0.00284524  -0.00551862   0.00000763   0.00001724  -0.00004818   0.00000002   0.00000005  -0.00000018   0.00000000   0.00000000  -0.00000000
   0.00194304   0.00181707   0.00317956  -0.00616707   0.00000864   0.00001951  -0.00005452   0.00000002   0.00000006  -0.00000022   0.00000000   0.00000000  -0.00000000
   0.00215357   0.00201394   0.00352407  -0.00683526   0.00000971   0.00002193  -0.00006128   0.00000003   0.00000008  -0.00000028   0.00000000   0.00000000  -0.00000000
   0.00237051   0.00221682   0.00387906  -0.00752379   0.00001085   0.00002451  -0.00006851   0.00000003   0.00000009  -0.00000034   0.00000000   0.00000000  -0.00000000
   0.00259406   0.00242587   0.00424487  -0.00823330   0.00001208   0.00002728  -0.00007625   0.00000004   0.00000011  -0.00000041   0.00000000   0.00000000  -0.00000000
   0.00282441   0.00264129   0.00462181  -0.00896440   0.00001339   0.00003025  -0.00008456   0.00000005   0.00000013  -0.00000049   0.00000000   0.00000000  -0.00000000
   0.00306178   0.00286327   0.00501024  -0.00971776   0.00001481   0.00003345  -0.00009349   0.00000006   0.00000016  -0.00000058   0.00000000   0.00000000  -0.00000000
   0.00330638   0.00309201   0.00541049  -0.01049407   0.00001633   0.00003690  -0.00010313   0.00000007   0.00000019  -0.00000068   0.00000000   0.00000000  -0.00000000
   0.00355843   0.00332771   0.00582293  -0.01129401   0.00001798   0.00004062  -0.00011351   0.00000008   0.00000022  -0.00000079   0.00000000   0.00000000  -0.00000000
   0.00381815   0.00357059   0.00624793  -0.01211830   0.00001976   0.00004463  -0.00012473   0.00000009   0.00000025  -0.00000092   0.00000000   0.00000000  -0.00000001
   0.00408579   0.00382087   0.00668588  -0.01296768   0.00002168   0.00004897  -0.00013686   0.00000011   0.00000029  -0.00000107   0.00000000   0.00000000  -0.00000001
   0.00436157   0.00407878   0.00713716  -0.01384293   0.00002375   0.00005366  -0.00014998   0.00000012   0.00000034  -0.00000123   0.00000000   0.00000000  -0.00000001
   0.00464575   0.00434453   0.00760218  -0.01474482   0.00002600   0.00005874  -0.00016417   0.00000014   0.00000039  -0.00000141   0.00000000   0.00000000  -0.00000001
