# y(file,data)
#      x           y(1,1)       y(2,1)       y(3,1)     sum_data1  
    -8.076666     0.000000     0.000000     0.000000     0.000000
    -8.001834     0.000000     0.000000     0.000000     0.000000
    -7.927002     0.000000     0.000000     0.000000     0.000000
    -7.852170     0.000000     0.000000     1.772436     3.544873
    -7.777339     0.000000     0.000000    12.256267    24.512534
    -7.702507     0.000000     0.000000     4.514578     9.029155
    -7.627675     0.000000     0.000000     0.000000     0.000000
    -7.552843     0.000000     0.000000     0.000000     0.000000
    -7.478011     0.000000     0.000000     1.462406     2.924813
    -7.403179     0.000000     0.000000     9.776171    19.552343
    -7.328347     0.000000     0.000000     1.530949     3.061898
    -7.253515     0.000000     0.000000     0.000000     0.000000
    -7.178683     0.000000     0.000000     0.000000     0.000000
    -7.103851    16.422253     2.849981     0.000000    22.122215
    -7.029020     2.181365     4.247608     0.000000    10.676580
    -6.954188     2.253063     1.152029     0.000000     4.557120
    -6.879356     0.000000     0.000000     0.000000     0.000000
    -6.804524     0.000000     0.662813     0.000000     1.325627
    -6.729692     0.000000     0.169871     0.147516     0.634773
    -6.654860     1.335958     2.347611     1.000795     8.032771
    -6.580028     3.220271     0.986218     0.266882     5.726469
    -6.505196     1.727301     1.127685     0.134146     4.250963
    -6.430364     1.577493     2.138280     0.175051     6.204155
    -6.355532     0.729464     4.113233     0.122647     9.201224
    -6.280701     0.211989     1.206940     0.096018     2.817905
    -6.205869     0.284217     0.753441     0.192728     2.176555
    -6.131037     0.349452     0.582646     0.285418     2.085580
    -6.056205     1.245949     1.254437     0.238021     4.230864
    -5.981373     1.489344     0.852528     0.297643     3.789686
    -5.906541     1.668589     0.633452     0.576178     4.087849
    -5.831709     0.566123     0.362638     0.439815     2.171029
    -5.756877     1.146190     0.809105     0.219970     3.204340
    -5.682045     0.970691     0.686029     0.280469     2.903688
    -5.607213     1.005221     0.576454     0.463406     3.084942
    -5.532382     1.029681     0.601348     0.368397     2.969170
    -5.457550     0.322772     0.595733     0.361515     2.237268
    -5.382718     0.798782     0.579835     0.303474     2.565399
    -5.307886     1.165632     0.902743     0.245763     3.462645
    -5.233054     0.571169     0.643060     0.455401     2.768090
    -5.158222     0.774629     0.858302     0.313176     3.117586
    -5.083390     0.380957     0.686975     0.337263     2.429434
    -5.008558     0.626191     0.590172     0.278097     2.362729
    -4.933726     0.470647     0.653308     0.121937     2.021137
    -4.858894     0.465787     0.710801     0.228179     2.343747
    -4.784063     0.273868     0.678823     0.128282     1.888078
    -4.709231     0.321943     0.694455     0.225305     2.161463
    -4.634399     0.304302     0.744238     0.271217     2.335211
    -4.559567     0.302702     0.571228     0.231682     1.908524
    -4.484735     0.277423     0.334431     0.349346     1.644976
    -4.409903     0.173829     0.453651     0.240701     1.562532
    -4.335071     0.207822     0.524808     0.294273     1.845984
    -4.260239     0.192175     0.421472     0.341106     1.717331
    -4.185407     0.302291     0.598627     0.473620     2.446786
    -4.110575     0.231219     0.612908     0.702896     2.862828
    -4.035744     0.207765     0.498579     0.498298     2.201520
    -3.960912     0.226958     0.412293     0.449758     1.951059
    -3.886080     0.116693     0.416076     0.545408     2.039661
    -3.811248     0.109627     0.278893     0.616545     1.900502
    -3.736416     0.218807     0.270154     0.536998     1.833111
    -3.661584     0.286718     0.311993     0.557416     2.025535
    -3.586752     0.242306     0.328079     0.558533     2.015530
    -3.511920     0.218256     0.274131     0.517571     1.801659
    -3.437088     0.598236     0.444265     0.467710     2.422185
    -3.362256     0.223992     0.350868     0.201149     1.328026
    -3.287425     0.630360     0.271567     0.352876     1.879246
    -3.212593     0.572860     0.213667     0.708873     2.417940
    -3.137761     0.634111     0.290506     0.299951     1.815026
    -3.062929     0.547564     0.221735     0.323378     1.637788
    -2.988097     0.442440     0.161342     0.463779     1.692681
    -2.913265     0.489910     0.275237     0.432153     1.904690
    -2.838433     0.365903     0.209021     0.262805     1.309554
    -2.763601     0.242166     0.149305     0.231414     1.003603
    -2.688769     0.410395     0.211223     0.254990     1.342820
    -2.613937     0.182247     0.224914     0.217647     1.067367
    -2.539106     0.183532     0.117831     0.308725     1.036645
    -2.464274     0.254988     0.178449     0.136652     0.885191
    -2.389442     0.203375     0.096816     0.190753     0.778512
    -2.314610     0.193596     0.095288     0.123688     0.631548
    -2.239778     0.191458     0.109084     0.147660     0.704944
    -2.164946     0.288107     0.135634     0.057223     0.673821
    -2.090114     0.121300     0.066537     0.084189     0.422751
    -2.015282     0.087609     0.053621     0.046615     0.288081
    -1.940450     0.132525     0.041219     0.044704     0.304371
    -1.865618     0.051526     0.046918     0.040568     0.226498
    -1.790787     0.031499     0.014127     0.022793     0.105340
    -1.715955     0.025994     0.016102     0.014369     0.086937
    -1.641123     0.002814     0.009735     0.000000     0.022285
    -1.566291     0.000000     0.001573     0.000000     0.003146
    -1.491459     0.000000     0.000000     0.000000     0.000000
    -1.416627     0.000000     0.000000     0.000000     0.000000
    -1.341795     0.000000     0.000000     0.000000     0.000000
    -1.266963     0.000000     0.000000     0.000000     0.000000
    -1.192131     0.000000     0.000000     0.000000     0.000000
    -1.117299     0.000000     0.000000     0.000000     0.000000
    -1.042468     0.000000     0.000000     0.000000     0.000000
    -0.967636     0.000000     0.000000     0.000000     0.000000
    -0.892804     0.000000     0.000000     0.000000     0.000000
    -0.817972     0.000000     0.000000     0.000000     0.000000
    -0.743140     0.000000     0.000000     0.000000     0.000000
    -0.668308     0.000000     0.000000     0.000000     0.000000
    -0.593476     0.000000     0.000000     0.000000     0.000000
    -0.518644     0.000000     0.000000     0.000000     0.000000
    -0.443812     0.000000     0.000000     0.000000     0.000000
    -0.368980     0.000000     0.000000     0.000000     0.000000
    -0.294149     0.000000     0.000000     0.000000     0.000000
